Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,dependency_score,satisfaction_flag,freq_numeric,composite_value_score,value_tier,loyalty_volume,loyalty_frequency,chosen_loyalty_flag,age_group
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,1.0,1,26,0.5324358974358975,Medium,0,1,0,Boomers (51+)
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,1.0,1,26,0.48579487179487185,Medium,0,1,0,Millennials (25–35)
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,Yes,Yes,37,Venmo,Fortnightly,1.0,1,26,0.7123333333333334,Medium,0,1,0,Boomers (51+)
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,Yes,Yes,31,PayPal,Weekly,1.0,1,52,0.6977948717948719,Medium,0,1,0,Boomers (51+)
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1.0,1,52,0.7286666666666667,Medium,0,1,0,Boomers (51+)
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,Yes,Yes,8,PayPal,Monthly,1.0,0,12,0.4184871794871795,Medium,0,0,0,Boomers (51+)
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1.0,1,26,0.6794615384615386,Medium,1,1,1,Millennials (25–35)
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly,1.0,1,4,0.4521282051282051,Medium,0,0,0,Boomers (51+)
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,Yes,Free Shipping,Yes,Yes,17,Cash,Weekly,1.0,1,52,0.5761282051282052,Medium,0,1,0,Boomers (51+)
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,Yes,Standard,Yes,Yes,46,Debit Card,Bi-Weekly,1.0,0,26,0.8257179487179488,High,1,0,1,Boomers (51+)
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,Yes,Express,Yes,Yes,50,Cash,Every 3 Months,1.0,0,4,0.5928717948717949,Medium,1,0,1,Gen Z (18–24)
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,1.0,1,4,0.39566666666666667,Low,0,0,0,Millennials (25–35)
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,1.0,0,1,0.3305897435897436,Low,0,0,0,Boomers (51+)
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,1.0,1,52,0.8576410256410257,High,1,1,1,Millennials (25–35)
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,1.0,0,52,0.5031538461538462,Medium,0,0,0,Gen Z (18–24)
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,1.0,0,1,0.15238461538461542,Low,0,0,0,Gen Z (18–24)
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,1.0,0,1,0.13125641025641027,Low,0,0,0,Gen X (36–50)
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,1.0,1,4,0.2642820512820513,Low,0,0,0,Boomers (51+)
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,1.0,1,4,0.6258205128205128,Medium,1,0,1,Boomers (51+)
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,1.0,1,52,0.5533076923076924,Medium,0,1,0,Millennials (25–35)
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,1.0,1,12,0.35889743589743595,Low,0,0,0,Boomers (51+)
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,1.0,1,12,0.7064615384615385,Medium,1,0,1,Millennials (25–35)
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,1.0,1,1,0.4405641025641026,Medium,0,0,0,Gen X (36–50)
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1.0,0,4,0.5215641025641026,Medium,1,0,1,Boomers (51+)
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,1.0,1,4,0.5947179487179488,Medium,1,0,1,Gen X (36–50)
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,1.0,1,26,0.7060256410256411,Medium,1,1,1,Boomers (51+)
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,1.0,1,26,0.7591538461538463,High,1,1,1,Millennials (25–35)
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,1.0,0,52,0.5143076923076924,Medium,0,0,0,Millennials (25–35)
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1.0,0,4,0.511,Medium,1,0,1,Millennials (25–35)
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,1.0,1,12,0.4446666666666667,Medium,0,0,0,Boomers (51+)
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,1.0,1,4,0.5027435897435898,Medium,0,0,0,Boomers (51+)
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,1.0,1,1,0.3976923076923077,Low,1,0,1,Boomers (51+)
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,1.0,1,1,0.3457179487179487,Low,0,0,0,Gen Z (18–24)
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,1.0,0,26,0.5592564102564104,Medium,0,0,0,Millennials (25–35)
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,1.0,1,52,0.8122564102564103,High,1,1,1,Gen X (36–50)
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,1.0,0,1,0.23079487179487182,Low,0,0,0,Gen X (36–50)
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,1.0,0,4,0.5334615384615384,Medium,1,0,1,Boomers (51+)
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,1.0,1,52,0.745051282051282,Medium,0,1,0,Boomers (51+)
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,1.0,0,12,0.5945641025641026,Medium,1,0,1,Gen X (36–50)
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,1.0,1,26,0.5878717948717949,Medium,0,1,0,Boomers (51+)
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.8,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,1.0,0,26,0.6195897435897436,Medium,1,0,1,Gen X (36–50)
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,1.0,1,4,0.2714615384615385,Low,0,0,0,Boomers (51+)
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,1.0,0,52,0.5793076923076923,Medium,0,0,0,Gen X (36–50)
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,1.0,0,52,0.6631025641025642,Medium,0,0,0,Millennials (25–35)
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,1.0,1,26,0.7512051282051282,High,0,1,0,Gen X (36–50)
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,1.0,0,1,0.44020512820512825,Medium,1,0,1,Gen X (36–50)
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,1.0,1,52,0.8683589743589744,High,1,1,1,Gen X (36–50)
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,1.0,1,26,0.5306666666666667,Medium,0,1,0,Gen Z (18–24)
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,1.0,1,12,0.5205384615384616,Medium,0,0,0,Boomers (51+)
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,1.0,1,52,0.5486153846153846,Medium,0,1,0,Boomers (51+)
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Express,Yes,Yes,17,Cash,Weekly,1.0,1,52,0.549923076923077,Medium,0,1,0,Gen X (36–50)
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,1.0,1,4,0.402923076923077,Medium,0,0,0,Boomers (51+)
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,1.0,0,26,0.538948717948718,Medium,0,0,0,Millennials (25–35)
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,1.0,0,52,0.8592307692307692,High,1,0,1,Millennials (25–35)
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,1.0,1,26,0.5847948717948718,Medium,0,1,0,Boomers (51+)
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,1.0,1,4,0.5080769230769231,Medium,1,0,1,Boomers (51+)
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,1.0,1,4,0.3212564102564103,Low,0,0,0,Millennials (25–35)
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,1.0,1,12,0.6294102564102565,Medium,1,0,1,Gen X (36–50)
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,1.0,0,4,0.3504615384615385,Low,0,0,0,Boomers (51+)
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,1.0,1,52,0.5361794871794872,Medium,0,1,0,Gen X (36–50)
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,1.0,1,4,0.3972051282051282,Low,0,0,0,Gen Z (18–24)
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,1.0,0,1,0.37341025641025644,Low,0,0,0,Gen X (36–50)
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,1.0,0,4,0.2995897435897436,Low,0,0,0,Gen Z (18–24)
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,1.0,0,26,0.7908974358974359,High,1,0,1,Gen X (36–50)
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,1.0,1,12,0.3210512820512821,Low,0,0,0,Gen X (36–50)
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,1.0,0,1,0.3558717948717949,Low,0,0,0,Boomers (51+)
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,1.0,1,12,0.5204358974358975,Medium,0,0,0,Gen X (36–50)
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,1.0,0,26,0.6593333333333333,Medium,0,0,0,Gen Z (18–24)
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,1.0,1,26,0.8609230769230769,High,1,1,1,Gen X (36–50)
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,1.0,0,4,0.6467692307692308,Medium,1,0,1,Gen X (36–50)
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.8,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,1.0,0,4,0.4360769230769231,Medium,0,0,0,Gen Z (18–24)
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,1.0,0,4,0.5922564102564103,Medium,0,0,0,Boomers (51+)
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,1.0,1,4,0.3042564102564103,Low,0,0,0,Gen Z (18–24)
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,1.0,1,52,0.6975128205128206,Medium,0,1,0,Gen X (36–50)
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,1.0,1,4,0.4831025641025641,Medium,1,0,1,Boomers (51+)
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,1.0,1,26,0.4871794871794872,Medium,0,1,0,Boomers (51+)
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,1.0,0,26,0.717025641025641,Medium,1,0,1,Gen Z (18–24)
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,1.0,0,26,0.7208205128205128,Medium,1,0,1,Boomers (51+)
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,1.0,0,12,0.5538205128205129,Medium,0,0,0,Millennials (25–35)
90,47,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,1.0,0,4,0.39130769230769236,Low,0,0,0,Gen X (36–50)
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,1.0,0,12,0.5060769230769231,Medium,0,0,0,Millennials (25–35)
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,1.0,1,4,0.4537179487179488,Medium,0,0,0,Gen X (36–50)
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,1.0,1,4,0.3835897435897436,Low,0,0,0,Boomers (51+)
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,1.0,1,52,0.840948717948718,High,1,1,1,Gen X (36–50)
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,1.0,1,52,0.7330512820512821,Medium,0,1,0,Boomers (51+)
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,1.0,0,12,0.7854102564102565,High,1,0,1,Gen X (36–50)
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.8,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,1.0,0,4,0.5903076923076923,Medium,1,0,1,Millennials (25–35)
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,1.0,1,1,0.5012564102564103,Medium,0,0,0,Gen Z (18–24)
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,1.0,0,1,0.3027692307692308,Low,0,0,0,Gen Z (18–24)
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,1.0,0,4,0.43438461538461537,Medium,0,0,0,Millennials (25–35)
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,1.0,0,26,0.7292564102564103,Medium,0,0,0,Boomers (51+)
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,1.0,1,26,0.8464358974358974,High,1,1,1,Millennials (25–35)
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,1.0,1,4,0.5142051282051282,Medium,0,0,0,Boomers (51+)
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,1.0,1,26,0.6326410256410256,Medium,0,1,0,Boomers (51+)
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,1.0,1,12,0.22053846153846157,Low,0,0,0,Boomers (51+)
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,1.0,0,1,0.248,Low,0,0,0,Boomers (51+)
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,1.0,0,12,0.49110256410256414,Medium,0,0,0,Boomers (51+)
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,1.0,0,26,0.7701538461538462,High,1,0,1,Millennials (25–35)
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,1.0,0,26,0.6904615384615385,Medium,0,0,0,Boomers (51+)
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,1.0,0,26,0.7908974358974359,High,1,0,1,Boomers (51+)
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4.0,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,1.0,1,26,0.5114358974358975,Medium,0,1,0,Boomers (51+)
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,1.0,1,1,0.23546153846153847,Low,0,0,0,Millennials (25–35)
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,1.0,1,26,0.6231025641025641,Medium,0,1,0,Gen X (36–50)
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,1.0,0,4,0.36002564102564105,Low,0,0,0,Gen X (36–50)
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,1.0,0,52,0.6277435897435898,Medium,0,0,0,Boomers (51+)
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,1.0,0,4,0.6822307692307692,Medium,1,0,1,Boomers (51+)
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,1.0,0,1,0.28600000000000003,Low,0,0,0,Boomers (51+)
118,50,Male,Sandals,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,1.0,1,26,0.5506923076923077,Medium,0,1,0,Gen X (36–50)
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,1.0,1,26,0.5677435897435898,Medium,0,1,0,Gen X (36–50)
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,1.0,1,1,0.5159743589743591,Medium,1,0,1,Gen X (36–50)
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,1.0,1,1,0.44361538461538463,Medium,0,0,0,Boomers (51+)
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,1.0,1,26,0.5033076923076923,Medium,0,1,0,Gen Z (18–24)
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,1.0,1,26,0.6896666666666668,Medium,1,1,1,Gen X (36–50)
124,57,Male,Sweater,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Free Shipping,Yes,Yes,46,Cash,Weekly,1.0,0,52,0.9065384615384615,High,1,0,1,Boomers (51+)
125,44,Male,Sweater,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,Next Day Air,Yes,Yes,50,PayPal,Annually,1.0,0,1,0.5891794871794872,Medium,1,0,1,Gen X (36–50)
126,49,Male,Shorts,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Next Day Air,Yes,Yes,45,Venmo,Every 3 Months,1.0,0,4,0.5596153846153846,Medium,1,0,1,Gen X (36–50)
127,43,Male,Shorts,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Store Pickup,Yes,Yes,48,Cash,Every 3 Months,1.0,0,4,0.5421282051282051,Medium,1,0,1,Gen X (36–50)
128,24,Male,Sweater,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Next Day Air,Yes,Yes,26,Credit Card,Weekly,1.0,1,52,0.7483333333333333,Medium,0,1,0,Gen Z (18–24)
